,ZONE,year,value,ProjectID
151,335,2024,64.00999999999999,1097.40
152,242,2024,337.36,1097.40
153,218,2024,606.56,1097.40
154,233,2024,2048.06,1097.40
155,335,2025,64.00999999999999,1097.40
156,242,2025,337.36,1097.40
157,218,2025,606.56,1097.40
158,233,2025,2048.06,1097.40
159,335,2026,64.00999999999999,1097.40
160,242,2026,337.36,1097.40
161,218,2026,606.56,1097.40
162,233,2026,2048.06,1097.40
163,335,2027,64.00999999999999,1097.40
164,242,2027,337.36,1097.40
165,218,2027,606.56,1097.40
166,233,2027,2048.06,1097.40
167,335,2028,64.00999999999999,1097.40
168,242,2028,337.36,1097.40
169,218,2028,606.56,1097.40
170,233,2028,2048.06,1097.40
171,335,2029,64.00999999999999,1097.40
172,242,2029,337.36,1097.40
173,218,2029,606.56,1097.40
174,233,2029,2048.06,1097.40
175,335,2030,64.00999999999999,1097.40
176,242,2030,337.36,1097.40
177,218,2030,606.56,1097.40
178,233,2030,2048.06,1097.40
179,335,2031,64.00999999999999,1097.40
180,242,2031,337.36,1097.40
181,218,2031,606.56,1097.40
182,233,2031,2048.06,1097.40
183,335,2032,64.00999999999999,1097.40
184,242,2032,337.36,1097.40
185,218,2032,606.56,1097.40
186,233,2032,2048.06,1097.40
187,335,2033,64.00999999999999,1097.40
188,242,2033,337.36,1097.40
189,218,2033,606.56,1097.40
190,233,2033,2048.06,1097.40
191,335,2034,64.00999999999999,1097.40
192,242,2034,337.36,1097.40
193,218,2034,606.56,1097.40
194,233,2034,2048.06,1097.40
195,335,2035,64.00999999999999,1097.40
196,242,2035,337.36,1097.40
197,218,2035,606.56,1097.40
198,233,2035,2048.06,1097.40
199,883,2024,3063.1000000000004,1633.0
200,1016,2024,55.15,1113.3.3
201,3201,2024,70.73,1113.3.3
202,1013,2024,106.66666666666666,1113.3.3
203,1016,2025,55.15,1113.3.3
204,3201,2025,70.73,1113.3.3
205,1013,2025,118.84,1113.3.3
206,2365,2025,213.33333333333331,1113.3.3
207,1016,2026,55.15,1113.3.3
208,3201,2026,70.73,1113.3.3
209,1013,2026,118.84,1113.3.3
210,2365,2026,320.0,1113.3.3
211,1016,2027,55.15,1113.3.3
212,3201,2027,70.73,1113.3.3
213,1013,2027,118.84,1113.3.3
214,2365,2027,423.49,1113.3.3
215,2363,2027,426.66666666666663,1113.3.3
216,1016,2028,55.15,1113.3.3
217,3201,2028,70.73,1113.3.3
218,1013,2028,118.84,1113.3.3
219,2365,2028,423.49,1113.3.3
220,2363,2028,478.59000000000003,1113.3.3
221,2217,2028,533.3333333333333,1113.3.3
222,1016,2029,55.15,1113.3.3
223,3201,2029,70.73,1113.3.3
224,1013,2029,118.84,1113.3.3
225,2365,2029,423.49,1113.3.3
226,2363,2029,478.59000000000003,1113.3.3
227,2217,2029,639.9999999999999,1113.3.3
228,1016,2030,55.15,1113.3.3
229,3201,2030,70.73,1113.3.3
230,1013,2030,118.84,1113.3.3
231,2365,2030,423.49,1113.3.3
232,2363,2030,478.59000000000003,1113.3.3
233,2217,2030,746.6666666666665,1113.3.3
234,1016,2031,55.15,1113.3.3
235,3201,2031,70.73,1113.3.3
236,1013,2031,118.84,1113.3.3
237,2365,2031,423.49,1113.3.3
238,2363,2031,478.59000000000003,1113.3.3
