Z,,Master plan,PRODSECTOR,AREATYPE,AREATYPE2,UPC_PRECIN,PRECINCT_,HH,POP_NONLAB,WORKER,STUDENT,LABOURER,POP_TOT,HOTELROOMS,RES_GFA,RETAIL_GFA,OFFICE_GFA,L_IND_GFA,M_IND_GFA,H_IND_GFA,SCHOOL_GFA,MED_GFA,OTHER_GFA,CONS_SITE,RETGEN_PRO,RETMAL_PRO,MEDCLI_PRO,MEDHOS_PRO,NONTER_PRO,TER_PRO,SCHPLCS_NT,SCHPLCS_TE,SCHPLCS_PR,SCHPLCS_SE,SECT_DST,SECT_FRT,SECT_EXT,SECT_REP,SECT_REPMS,METRO_AREA,SHAPEAREA,CENTROIDX,CENTROIDY,PARK_SEC,URBAN_RURA,LAB_CON_P,LAB_OTH_P,LAB_IND_P,IND_AREA,PROP_INT_L,PROP_INT_W,PROP_INT_O,SECT_BAL,SECT_INT,REG,TOD_A,TOD_P,HGV_PERMIT,ADSICDIST,DISTNAME,TMP,UDM_DIST,MP_ProjectID
1140,ADM,MP,2,7,5,29,Al Shamkha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,264284,2696515,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,22345.0
1141,ADM,MP,2,8,6,29,Al Shamkha,175,1330,731,292,0,1330,0,157500,397,0,0,0,0,0,0,1007,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,266680,2690728,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1142,ADM,MP,2,8,6,29,Al Shamkha,111,843,463,185,0,843,0,99900,0,0,0,0,0,0,0,3918,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,269700,2690556,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1143,ADM,MP,2,4,8,29,Al Shamkha,506,2281,1254,501,0,2281,0,101579,2598,0,0,0,0,0,0,1007,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,268144,2690339,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1144,ADM,MP,2,8,9,29,Al Shamkha,287,1908,1049,419,0,1908,0,189522,745,0,0,0,0,0,0,2014,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,1,273134,2693875,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_North,MADINAT AL RIYAD,Riyadh
1145,ADM,MP,2,9,11,29,Al Shamkha,563,4278,2353,941,0,4278,0,506700,2296,0,0,0,0,0,0,6260,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,1,272539,2692683,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_North,MADINAT AL RIYAD,Riyadh
1146,ADM,MP,2,9,11,29,Al Shamkha,400,3040,1672,668,0,3040,0,360000,2478,0,0,0,0,858,3000,3771,0,100,0,100,0,100,0,51,0,51,0,2,1,0,5,1,1,1,272423,2697625,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_North,MADINAT AL RIYAD,Riyadh
1147,ADM,MP,2,9,11,29,Al Shamkha,631,4795,2637,1055,0,4795,0,567900,1933,0,0,0,0,44961,3000,7010,0,100,0,100,0,100,0,1591,0,51,1540,2,1,0,5,1,1,2,273327,2695894,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_North,MADINAT AL RIYAD,Riyadh
1148,ADM,MP,2,8,6,29,Al Shamkha,33,250,137,55,0,250,0,29700,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,265094,2691463,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1149,ADM,MP,2,4,5,29,Al Shamkha,1107,5038,2771,1108,0,5038,0,229218,5375,0,0,0,0,0,0,2222,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,267154,2690355,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1150,ADM,MP,2,4,5,29,Al Shamkha,135,801,440,176,0,801,0,66240,6096,18290,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,265444,2691113,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1151,ADM,MP,2,8,6,29,Al Shamkha,177,1345,739,295,0,1345,0,159300,1447,0,0,0,0,700,0,1757,0,100,0,100,0,100,0,70,0,70,0,2,1,0,5,1,1,0,269352,2690156,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1152,ADM,MP,2,4,5,29,Al Shamkha,131,725,399,159,0,725,0,51497,11523,34569,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,265918,2690740,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1153,ADM,MP,2,8,6,29,Al Shamkha,175,1330,731,292,0,1330,0,157500,397,0,0,0,0,0,0,3239,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,268508,2690053,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1154,ADM,MP,2,4,8,29,Al Shamkha,142,597,328,131,0,597,0,18877,888,0,0,0,0,0,0,229,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,267518,2690069,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1155,ADM,MP,2,8,6,29,Al Shamkha,177,1345,739,295,0,1345,0,159300,0,0,0,0,0,0,3000,1007,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,270199,2690259,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1156,ADM,MP,2,4,8,29,Al Shamkha,157,948,521,208,0,948,0,85313,416,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,266394,2690365,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1157,ADM,MP,2,8,6,29,Al Shamkha,152,1155,635,254,0,1155,0,136800,397,0,0,0,0,0,0,3239,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,1,271006,2690766,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1158,ADM,MP,2,4,5,29,Al Shamkha,113,688,378,151,0,688,0,59639,10498,30308,0,0,0,0,0,1007,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,265243,2690857,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1159,ADM,MP,2,4,8,29,Al Shamkha,885,3784,2081,832,0,3784,0,129274,4728,0,0,0,0,0,0,229,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,266868,2689992,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1160,ADM,MP,2,9,11,29,Al Shamkha,571,4339,2386,954,0,4339,0,513900,1547,0,0,0,0,72268,3000,12503,0,100,0,100,0,100,0,2999,0,1459,1540,2,1,0,5,1,1,2,272761,2691777,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_North,MADINAT AL RIYAD,Riyadh
1161,ADM,MP,2,4,5,29,Al Shamkha,78,457,251,100,0,457,0,36999,0,0,0,0,0,0,4500,34250,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,265716,2690484,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1162,ADM,MP,2,8,6,29,Al Shamkha,196,1489,819,327,0,1489,0,176400,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,268976,2689665,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1163,ADM,MP,2,4,8,29,Al Shamkha,158,956,525,210,0,956,0,86215,416,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,266193,2690109,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1164,ADM,MP,2,8,6,29,Al Shamkha,168,1276,702,280,0,1276,0,151200,397,0,0,0,0,0,0,8983,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,269824,2689784,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1165,ADM,MP,2,4,8,29,Al Shamkha,1126,4883,2685,1074,0,4883,0,173511,45381,120258,0,0,0,700,0,7750,0,0,100,100,0,100,0,70,0,70,0,2,1,0,5,1,1,0,267633,2689578,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1166,ADM,MP,2,4,8,29,Al Shamkha,78,327,180,72,0,327,0,10365,487,0,0,0,0,0,0,125,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,267230,2689703,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1167,ADM,MP,2,8,6,29,Al Shamkha,97,737,405,162,0,737,0,87300,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,270572,2689964,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1168,ADM,MP,2,8,6,29,Al Shamkha,138,1048,576,230,0,1048,0,124200,0,0,0,0,0,0,412488,0,0,100,0,0,100,100,0,0,0,0,0,2,1,0,5,1,1,0,268133,2689478,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1169,ADM,MP,2,9,11,29,Al Shamkha,756,5745,3160,1264,0,5745,0,680400,2030,0,0,0,0,15913,7500,54256,0,100,0,100,0,100,0,1408,0,1408,0,2,1,0,5,1,1,2,273789,2693285,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_North,MADINAT AL RIYAD,Riyadh
1170,ADM,MP,2,9,11,29,Al Shamkha,421,3199,1759,703,0,3199,0,378900,2690,0,0,0,0,0,0,4246,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,1,274136,2694505,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_North,MADINAT AL RIYAD,Riyadh
1171,ADM,MP,2,8,6,1,Abu Dhabi,414,3146,1730,692,0,3146,0,372600,2030,4232,0,0,0,700,3000,15286,0,100,0,100,0,100,0,70,0,70,0,2,1,0,6,1,0,1,272029,2690760,100,1,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1172,ADM,MP,2,8,6,29,Al Shamkha,156,1185,652,260,0,1185,0,140400,323,0,0,0,0,0,0,2999,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,271323,2690142,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1173,ADM,MP,2,7,5,29,Al Shamkha,17,98,42,27,0,98,0,549,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,264611,2699400,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,17860.0
1174,ADM,MP,2,8,6,29,Al Shamkha,129,980,539,215,0,980,0,116100,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,264618,2690896,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1175,ADM,MP,2,4,8,29,Al Shamkha,391,1775,976,390,0,1775,363,80831,50067,144714,0,0,0,27046,0,3239,0,100,0,100,0,100,0,2300,0,1150,1150,2,1,0,5,1,1,0,266819,2689522,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1176,ADM,MP,2,10,7,29,Al Shamkha,229,1287,558,359,0,1287,0,52730,0,2706,8,0,0,0,830,18583,0,100,0,100,0,100,0,10,0,5,5,2,1,0,5,1,1,7,263420,2691657,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,435,BANIYAS NORTH,0,AL SHAWAMEKH,SHM13_P1
1177,ADM,MP,2,8,6,29,Al Shamkha,76,577,317,127,0,577,0,68400,0,0,0,0,0,0,4500,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,268665,2689266,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1178,ADM,MP,2,8,6,29,Al Shamkha,195,1482,815,326,0,1482,0,175500,449,0,0,0,0,0,0,3239,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,264930,2690459,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1179,ADM,MP,2,8,6,29,Al Shamkha,153,1162,639,255,0,1162,0,137700,0,0,0,0,0,31350,0,1007,0,100,0,100,0,100,0,2100,0,0,2100,2,1,0,5,1,1,0,269471,2689283,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1180,ADM,MP,2,7,5,29,Al Shamkha,31,173,75,48,0,173,0,2804,2022,0,788,0,0,0,0,439,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,265544,2700327,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,17860.0
1181,ADM,MP,2,8,6,29,Al Shamkha,82,623,342,137,0,623,0,73800,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,270195,2689502,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1182,ADM,NMP,2,5,7,29,Al Shamkha,381,2143,929,599,0,2143,0,164034,1722,0,0,0,0,4467,1527,6939,0,100,0,100,0,100,0,455,0,344,111,2,1,0,5,1,1,5,263349,2698020,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,64,AL SHAWAMEKH,0,AL SHAWAMEKH,0
1183,ADM,MP,2,8,6,29,Al Shamkha,194,1474,810,324,0,1474,0,174600,0,0,0,0,0,0,0,1007,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,265403,2690086,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1184,ADM,MP,2,8,6,29,Al Shamkha,26,197,108,43,0,197,0,23400,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,268273,2687241,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1185,ADM,MP,2,8,6,29,Al Shamkha,135,1026,564,225,0,1026,0,121500,396,0,0,0,0,0,0,23521,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,265882,2689706,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1186,ADM,MP,2,4,8,29,Al Shamkha,0,0,0,0,0,0,0,0,0,0,0,0,0,520775,0,0,0,100,0,100,0,100,0,2300,0,1150,1150,2,1,0,5,1,1,0,266333,2689431,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1187,ADM,MP,2,7,5,29,Al Shamkha,31,173,75,48,0,173,0,1587,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,264821,2699920,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,17860.0
1188,ADM,MP,2,8,6,29,Al Shamkha,49,372,204,81,0,372,0,44100,0,0,0,0,0,22507,4500,39884,0,100,0,100,0,100,0,2100,0,0,2100,2,1,0,5,1,1,0,271025,2689617,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1189,ADM,MP,2,7,5,29,Al Shamkha,31,173,75,48,0,173,0,1272,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,264288,2699577,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,17860.0
1190,ADM,MP,2,9,11,29,Al Shamkha,42,319,175,70,0,319,0,37800,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,273832,2697920,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_North,MADINAT AL RIYAD,Riyadh
1191,ADM,MP,2,9,11,29,Al Shamkha,1340,10184,5601,2240,0,10184,0,1206000,5947,0,0,0,0,1717,6000,15837,0,100,0,100,0,100,0,102,0,102,0,2,1,0,5,1,1,3,274281,2696750,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_North,MADINAT AL RIYAD,Riyadh
1192,ADM,NMP,2,4,5,29,Al Shamkha,144,809,351,226,0,809,0,54261,0,0,0,0,0,0,3709,198,0,100,0,100,0,100,0,228,0,113,115,2,1,0,5,1,1,4,267208,2701137,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,0
1193,ADM,MP,2,8,6,29,Al Shamkha,36,273,150,60,0,273,0,32400,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,268085,2688979,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1194,ADM,MP,2,2,3,29,Al Shamkha,48,244,134,53,0,244,0,13864,26672,80018,0,0,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,267511,2689017,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1195,ADM,MP,2,7,5,29,Al Shamkha,31,173,75,48,0,173,0,2804,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,264955,2700208,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,17860.0
1196,ADM,MP,2,8,6,29,Al Shamkha,32,243,133,53,0,243,0,28800,0,0,0,0,0,0,0,1007,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,268684,2688940,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1197,ADM,NMP,2,7,7,29,Al Shamkha,540,3038,1317,848,0,3038,0,367705,2783,515,0,0,0,6549,0,7423,0,100,0,100,0,100,0,503,0,411,92,2,1,0,5,1,1,6,261782,2695012,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,64,AL SHAWAMEKH,0,AL SHAWAMEKH,0
1198,ADM,NMP,2,8,5,29,Al Shamkha,333,1873,812,523,0,1873,0,267812,397,0,0,0,0,16002,0,5992,0,100,0,100,0,100,0,1404,0,782,622,2,1,0,5,1,1,4,269857,2701459,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,0
1199,ADM,MP,2,4,8,29,Al Shamkha,0,0,0,0,0,0,0,0,0,0,0,0,0,19748,4500,27750,0,100,0,100,0,100,0,1850,0,1850,0,2,1,0,5,1,1,0,267210,2687490,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1200,ADM,MP,2,4,5,29,Al Shamkha,28,158,68,44,0,158,0,4735,974,0,0,0,0,0,0,13927,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,265681,2700703,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,17860.0
1201,ADM,MP,2,2,3,29,Al Shamkha,48,244,134,53,0,244,0,13864,26679,80039,0,0,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,266907,2689057,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1202,ADM,MP,2,8,6,29,Al Shamkha,44,334,183,73,0,334,0,39600,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,269284,2688902,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1203,ADM,MP,2,8,6,1,Abu Dhabi,116,881,484,193,0,881,0,104400,236,0,0,0,0,0,0,2585,0,100,0,100,0,100,0,0,0,0,0,2,1,0,6,1,0,0,271826,2689837,100,1,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1204,ADM,MP,2,8,6,29,Al Shamkha,46,349,192,76,0,349,0,41400,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,269896,2688916,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1205,ADM,MP,2,4,5,29,Al Shamkha,289,2096,1153,461,0,2096,0,235539,5342,14834,0,0,0,0,0,1007,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,1,270623,2689071,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1206,ADM,MP,2,7,5,29,Al Shamkha,21,116,50,32,0,116,0,609,0,0,0,0,0,0,199,0,0,100,0,100,0,100,0,3,0,1,2,2,1,0,5,1,1,0,264545,2700151,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,17860.0
1207,ADM,MP,2,8,6,29,Al Shamkha,36,273,150,60,0,273,0,32400,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,266274,2689100,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
1208,ADM,MP,2,7,5,29,Al Shamkha,21,116,50,32,0,116,0,1326,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,265047,2700595,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,17860.0
1209,ADM,NMP,2,10,5,29,Al Shamkha,8,43,19,12,0,43,0,6739,1638,3676,0,0,0,0,0,0,0,100,0,100,0,100,0,23,0,11,12,2,1,0,5,1,1,8,272825,2699475,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,0,MADINAT AL RIYAD,0
1210,ADM,MP,2,7,5,29,Al Shamkha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,263975,2699747,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,65,AL SHAMKHA,0,AL SHAMKHAH,17860.0
1211,ADM,MP,2,9,11,29,Al Shamkha,264,2006,1103,441,0,2006,0,237600,367,0,0,0,0,0,0,1007,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,1,274679,2692672,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_North,MADINAT AL RIYAD,Riyadh
1212,ADM,MP,2,8,6,29,Al Shamkha,48,364,200,80,0,364,0,43200,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,5,1,1,0,265531,2689251,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,1240,MADINAT AL RIYAD,STEAM_v2.2.0_Riyadh_South,MADINAT AL RIYAD,Riyadh
