Z,,Master plan,PRODSECTOR,AREATYPE,AREATYPE2,UPC_PRECIN,PRECINCT_,HH,POP_NONLAB,WORKER,STUDENT,LABOURER,POP_TOT,HOTELROOMS,RES_GFA,RETAIL_GFA,OFFICE_GFA,L_IND_GFA,M_IND_GFA,H_IND_GFA,SCHOOL_GFA,MED_GFA,OTHER_GFA,CONS_SITE,RETGEN_PRO,RETMAL_PRO,MEDCLI_PRO,MEDHOS_PRO,NONTER_PRO,TER_PRO,SCHPLCS_NT,SCHPLCS_TE,SCHPLCS_PR,SCHPLCS_SE,SECT_DST,SECT_FRT,SECT_EXT,SECT_REP,SECT_REPMS,METRO_AREA,SHAPEAREA,CENTROIDX,CENTROIDY,PARK_SEC,URBAN_RURA,LAB_CON_P,LAB_OTH_P,LAB_IND_P,IND_AREA,PROP_INT_L,PROP_INT_W,PROP_INT_O,SECT_BAL,SECT_INT,REG,TOD_A,TOD_P,HGV_PERMIT,ADSICDIST,DISTNAME,TMP,UDM_DIST,MP_ProjectID
15,ADM,MP,2,1,11,28,Saadiyat Island,761,2325,1279,930,0,2325,0,103687,6035,66898,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,240486,2714380,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_ NYU_Precinct,AL SAADIYAT ISLAND,1007.27
16,ADM,MP,2,9,11,28,Saadiyat Island,122,930,484,346,0,930,0,67152,8481,0,0,0,0,688,2916,12265,0,100,0,100,0,100,0,91,0,91,0,2,1,0,4,1,1,1,240253,2715261,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,Saadiyat Lagoons TMP - Saadiyat,AL SAADIYAT ISLAND,1007.42.4
17,ADM,MP,2,9,11,28,Saadiyat Island,231,1755,691,657,0,1755,0,130171,220,0,0,0,0,23326,0,6500,0,100,0,100,0,81,19,1707,403,1173,534,2,1,0,4,1,1,1,241517,2716612,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,Saadiyat Lagoons TMP - Saadiyat,AL SAADIYAT ISLAND,1007.42.4
18,ADM,MP,2,1,11,28,Saadiyat Island,1402,4281,2355,1712,0,4281,0,190999,3733,0,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,240458,2713918,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_ NYU_Precinct,AL SAADIYAT ISLAND,1007.27
19,ADM,MP,2,3,11,28,Saadiyat Island,553,1783,1069,392,0,1783,446,91412,27889,0,0,0,0,24976,1405,3803,0,100,0,0,100,100,0,1761,0,775,986,2,1,0,4,1,1,0,240790,2713722,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
20,ADM,MP,2,1,11,28,Saadiyat Island,547,1671,919,668,0,1671,0,74532,7638,59898,0,0,0,0,3500,3108,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,240241,2714134,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_ NYU_Precinct,AL SAADIYAT ISLAND,1007.27
21,ADM,MP,2,1,7,28,Saadiyat Island,600,3000,1800,660,0,3000,0,135793,1012,0,0,0,0,250755,0,0,0,100,0,100,0,0,100,0,4000,0,0,2,1,0,4,1,1,0,240133,2714692,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.7
22,ADM,MP,2,2,11,28,Saadiyat Island,412,1860,387,697,0,1860,0,60279,0,0,0,0,0,26826,0,750,0,100,0,100,0,81,19,2186,524,1492,694,2,1,0,4,1,1,0,240435,2716088,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,Saadiyat Lagoons TMP - Saadiyat,AL SAADIYAT ISLAND,1007.0
23,ADM,MP,2,1,11,28,Saadiyat Island,123,377,207,151,0,377,200,16800,3200,2000,0,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,239827,2714659,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_ NYU_Precinct,AL SAADIYAT ISLAND,1007.27
24,ADM,MP,2,1,11,28,Saadiyat Island,650,3300,1980,726,0,3300,109,149248,2659,809,0,0,0,0,0,809,0,100,0,100,0,100,0,0,0,0,0,2,1,0,4,1,1,0,240024,2713955,100,2,40,40,20,0,0,0,0,0,0,1,0,0,1,67,SADIYAT ISLAND,STEAM_v132_Cultural_District,AL SAADIYAT ISLAND,1007.46
